ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	description	entrezgene_id	gene_biotype
ENSG00000000003	1307.84260959672	0.060874237904331864	0.09346061496875001	0.6513357302933016	0.514829788385912	0.9998399286157339	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	7105	protein_coding
ENSG00000000419	3003.9750850549885	-0.013700546481829059	0.08446816855854308	-0.1621977452054439	0.871150135355103	0.9998399286157339	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	8813	protein_coding
ENSG00000000457	604.3286218007283	0.09879449161034766	0.10773928337540425	0.9169774339978709	0.3591544651576216	0.9998399286157339	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	57147	protein_coding
ENSG00000000460	1282.4278478703288	0.13217058711785815	0.24063059194630165	0.5492675974771857	0.582821820612389	0.9998399286157339	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	55732	protein_coding
ENSG00000000971	970.4394076382317	-0.0033598369510716096	0.31127810213867096	-0.010793682330968592	0.9913880547346406	0.9998399286157339	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	3075	protein_coding
ENSG00000001036	7033.956994070063	-0.0012023381416641774	0.04772349569139742	-0.025193840565223082	0.9799003499153208	0.9998399286157339	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	2519	protein_coding
ENSG00000001084	51.83820903655047	0.5595265619464179	0.4099027695305991	1.3650226432652814	0.17224593332624685	0.9998399286157339	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	2729	protein_coding
ENSG00000001167	4582.393825663225	0.13451437910304068	0.157770456768921	0.8525954849712933	0.39388366726292995	0.9998399286157339	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	4800	protein_coding
ENSG00000001460	414.1902866614364	-0.13159372586210993	0.16591304044941516	-0.793148781468032	0.42769114446727063	0.9998399286157339	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	90529	protein_coding
ENSG00000001461	3446.946436666629	-0.013146805246797134	0.12321759694129958	-0.10669584193449434	0.9150302814328696	0.9998399286157339	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	57185	protein_coding
ENSG00000001497	3852.8545559731856	-0.01193444756483141	0.13129033576530294	-0.0909011885396169	0.9275711057863641	0.9998399286157339	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	81887	protein_coding
ENSG00000001561	774.6815323631135	0.1070180140748979	0.2435359333176901	0.4394341837649642	0.6603469619072103	0.9998399286157339	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	22875	protein_coding
ENSG00000001617	563.5929590133993	-0.049803810858685245	0.2016024563946183	-0.24703970253814198	0.8048774979152358	0.9998399286157339	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	6405	protein_coding
ENSG00000001629	4462.924546211755	-0.019344312649266605	0.13477481438325567	-0.14353061985496549	0.885871130448111	0.9998399286157339	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	54467	protein_coding
ENSG00000001630	4896.777563508082	0.011522614170940717	0.06984581955038488	0.1649721378475431	0.8689659123216718	0.9998399286157339	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	1595	protein_coding
ENSG00000001631	788.1756159053456	0.1544194443435788	0.3093274135513479	0.49921034340509685	0.6176312085893456	0.9998399286157339	KRIT1	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	889	protein_coding
ENSG00000002016	508.48722675798604	-0.1961485586926267	0.16693676446671285	-1.1749871834357895	0.239999843420468	0.9998399286157339	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	5893	protein_coding
ENSG00000002330	3943.5993230985973	-0.12420420476709079	0.10881310994719688	-1.1414452250042542	0.25368469380870573	0.9998399286157339	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	572	protein_coding
ENSG00000002549	5705.6785650759675	-0.0241244138849932	0.07909365187965721	-0.30501074753381024	0.7603579667662407	0.9998399286157339	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	51056	protein_coding
ENSG00000002586	11169.898361745194	-0.07421517703090458	0.17792236755804552	-0.41712111888738534	0.6765898183781973	0.9998399286157339	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	4267	protein_coding
ENSG00000002587	1282.6205029990542	0.13277012346062503	0.20379417016125276	0.6514912735510062	0.514729408409518	0.9998399286157339	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	9957	protein_coding
ENSG00000002746	89.56040281415525	-0.194786139735241	0.2907029245652076	-0.6700522192082334	0.5028245023709456	0.9998399286157339	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	23072	protein_coding
